name,male,frequency_score
大志,0.96,0.739
ひなの,0.0,0.674
大知,1.0,0.701
真治,1.0,0.694
あやの,0.2,0.701
雄斗,1.0,0.674
雄司,1.0,0.685
さとう,0.25,0.685
勝巳,1.0,0.674
美保子,0.0,0.674
ヘレン,0.25,0.693
幸江,0.0,0.673
好子,0.0,0.673
かえで,0.214,0.718
渡邊,0.857,0.673
きょうこ,0.0,0.721
和雄,1.0,0.706
孝弘,1.0,0.684
浩介,1.0,0.672
富美子,0.0,0.684
和紀,1.0,0.683
のり,0.75,0.683
喜代美,0.0,0.672
照代,0.0,0.672
マイケル,0.962,0.736
ヒロミ,0.143,0.671
有里,0.0,0.671
雄太郎,1.0,0.682
柴田,0.714,0.671
翔也,1.0,0.682
玲央,1.0,0.671
